,id,name,username,created_at,protected,verified,location,description,followers_count,following_count,tweet_count,tweets,account_type,url,is_quoted_retweets
0,787405734442958848,The Best In Dumbest,best_in_dumbest,2016-10-15T21:32:11.000Z,False,False,,"Blame @MoistHorse, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches. Some images via Lorem Flickr.",1997,5,17090,"We can't extract the
""Avenge"" from
""Scavengers"" https://t.co/FpAstfF67l",bot,https://t.co/FpAstfF67l,0
1,787405734442958848,The Best In Dumbest,best_in_dumbest,2016-10-15T21:32:11.000Z,False,False,,"Blame @MoistHorse, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches. Some images via Lorem Flickr.",1997,5,17090,"We can't get the
""Other"" out of
""Geothermal"" https://t.co/pw6xYLUph5",bot,https://t.co/pw6xYLUph5,0
2,787405734442958848,The Best In Dumbest,best_in_dumbest,2016-10-15T21:32:11.000Z,False,False,,"Blame @MoistHorse, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches. Some images via Lorem Flickr.",1997,5,17090,"You can't spell
""Panoply""
without ""Ply"" https://t.co/XYsPhTkcDX",bot,https://t.co/XYsPhTkcDX,0
3,787405734442958848,The Best In Dumbest,best_in_dumbest,2016-10-15T21:32:11.000Z,False,False,,"Blame @MoistHorse, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches. Some images via Lorem Flickr.",1997,5,17090,"Put the ""Myrrh""
in ""Commercial"" https://t.co/yyadIxV48k",bot,https://t.co/yyadIxV48k,0
4,787405734442958848,The Best In Dumbest,best_in_dumbest,2016-10-15T21:32:11.000Z,False,False,,"Blame @MoistHorse, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches. Some images via Lorem Flickr.",1997,5,17090,"We need ""Dying""
to spell ""Muddying"" https://t.co/WJxZL1TkfM",bot,https://t.co/WJxZL1TkfM,0
5,796216118331310080,CJ Rubin,CJRubinPhoto,2016-11-09T05:01:30.000Z,False,False,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",785,829,251,"Trees on the shore at Point Lobos State Natural Reserve. Just outside Carmel, CA. #landscape #photography https://t.co/rdCgm9pPmh",human,https://t.co/rdCgm9pPmh,0
6,796216118331310080,CJ Rubin,CJRubinPhoto,2016-11-09T05:01:30.000Z,False,False,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",785,829,251,Vintage Photos of Insects and Spiders in Vivid Detail https://t.co/vgflozSyhs via @NatGeoPhotos,human,https://t.co/vgflozSyhs,0
7,796216118331310080,CJ Rubin,CJRubinPhoto,2016-11-09T05:01:30.000Z,False,False,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",785,829,251,Beware: Amazon Still Sells Counterfeit Memory Cards https://t.co/NVxhXm7XiX,human,https://t.co/NVxhXm7XiX,0
8,796216118331310080,CJ Rubin,CJRubinPhoto,2016-11-09T05:01:30.000Z,False,False,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",785,829,251,"Devils Tower around sunset. Famous as the landing place in the movie 'Close Encounters of the Third Kind'. #landscape #photography    
https://t.co/dHaQTtAhAj https://t.co/GXLBbnmGUa",human,https://t.co/dHaQTtAhAj,0
9,796216118331310080,CJ Rubin,CJRubinPhoto,2016-11-09T05:01:30.000Z,False,False,United States,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",785,829,251,"RT @artwolfe: Thank you for sending your beautiful and thoughtful new retrospective, @wgneill ! I encourage all #booklovers and photography…",human,,1
